ID,Label
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,0
